width,offset,ext_offset,repeat,status,output
-10,-45,89,1,normal,000706050c030201
-10,-45,90,1,normal,000706050c030201
-10,-45,91,1,normal,000706050c030201
-10,-45,92,1,normal,000706050c030201
-10,-45,93,1,normal,000706050c030201
-10,-45,94,1,normal,000706050c030201
-10,-45,95,1,normal,000706050c030201
-10,-45,96,1,normal,000706050c030201
-10,-45,97,1,normal,000706050c030201
-10,-45,98,1,normal,000706050c030201
-10,-45,99,1,normal,000706050c030201
-10,-45,100,1,normal,000706050c030201
-10,-45,101,1,normal,000706050c030201
-10,-45,102,1,normal,000706050c030201
-10,-45,103,1,normal,000706050c030201
-10,-45,104,1,normal,000706050c030201
-10,-45,105,1,normal,000706050c030201
-10,-45,106,1,normal,000706050c030201
-10,-45,107,1,normal,000706050c030201
-10,-45,108,1,normal,000706050c030201
-10,-45,109,1,normal,000706050c030201
-10,-45,110,1,normal,000706050c030201
-10,-45,111,1,normal,000706050c030201
-10,-45,112,1,normal,000706050c030201
-10,-45,113,1,normal,000706050c030201
-10,-45,114,1,normal,000706050c030201
-10,-45,115,1,normal,000706050c030201
-10,-45,116,1,normal,000706050c030201
-10,-45,117,1,normal,000706050c030201
-10,-45,118,1,normal,000706050c030201
-10,-45,119,1,normal,000706050c030201
-10,-45,120,1,normal,000706050c030201
-10,-45,121,1,normal,000706050c030201
-10,-45,122,1,normal,000706050c030201
-10,-45,123,1,normal,000706050c030201
-10,-45,124,1,normal,000706050c030201
-10,-45,125,1,normal,000706050c030201
-10,-45,126,1,normal,000706050c030201
-10,-45,127,1,normal,000706050c030201
-10,-45,128,1,normal,000706050c030201
-10,-45,129,1,normal,000706050c030201
-10,-45,130,1,normal,000706050c030201
-10,-45,131,1,normal,000706050c030201
-10,-45,132,1,normal,000706050c030201
-10,-45,133,1,normal,000706050c030201
-10,-45,134,1,normal,000706050c030201
-10,-45,135,1,normal,000706050c030201
-10,-45,136,1,normal,000706050c030201
-10,-45,137,1,normal,000706050c030201
-10,-45,138,1,normal,000706050c030201
-10,-45,139,1,normal,000706050c030201
-10,-45,140,1,normal,000706050c030201
-10,-45,141,1,normal,000706050c030201
-10,-45,142,1,normal,000706050c030201
-10,-45,143,1,normal,000706050c030201
-10,-45,144,1,normal,000706050c030201
-10,-45,145,1,normal,000706050c030201
-10,-45,146,1,normal,000706050c030201
-10,-45,147,1,normal,000706050c030201
-10,-45,148,1,normal,000706050c030201
-10,-45,149,1,normal,000706050c030201
-10,-45,150,1,normal,000706050c030201
-10,-45,151,1,normal,000706050c030201
-10,-45,152,1,normal,000706050c030201
-10,-45,153,1,normal,000706050c030201
-10,-45,154,1,normal,000706050c030201
-10,-45,155,1,normal,000706050c030201
-10,-45,156,1,normal,000706050c030201
-10,-45,157,1,normal,000706050c030201
-10,-45,158,1,normal,000706050c030201
-10,-45,159,1,normal,000706050c030201
-10,-40,0,1,normal,000706050c030201
-10,-40,1,1,normal,000706050c030201
-10,-40,2,1,normal,000706050c030201
-10,-40,3,1,normal,000706050c030201
-10,-40,4,1,normal,000706050c030201
-10,-40,5,1,normal,000706050c030201
-10,-40,6,1,normal,000706050c030201
-10,-40,7,1,normal,000706050c030201
-10,-40,8,1,normal,000706050c030201
-10,-40,9,1,normal,000706050c030201
-10,-40,10,1,normal,000706050c030201
-10,-40,11,1,normal,000706050c030201
-10,-40,12,1,normal,000706050c030201
-10,-40,13,1,normal,000706050c030201
-10,-40,14,1,normal,000706050c030201
-10,-40,15,1,normal,000706050c030201
-10,-40,16,1,normal,000706050c030201
-10,-40,17,1,normal,000706050c030201
-10,-40,18,1,normal,000706050c030201
-10,-40,19,1,normal,000706050c030201
-10,-40,20,1,normal,000706050c030201
-10,-40,21,1,normal,000706050c030201
-10,-40,22,1,normal,000706050c030201
-10,-40,23,1,normal,000706050c030201
-10,-40,24,1,normal,000706050c030201
-10,-40,25,1,normal,000706050c030201
-10,-40,26,1,normal,000706050c030201
-10,-40,27,1,normal,000706050c030201
-10,-40,28,1,normal,000706050c030201
-10,-40,29,1,normal,000706050c030201
-10,-40,30,1,normal,000706050c030201
-10,-40,31,1,normal,000706050c030201
-10,-40,32,1,normal,000706050c030201
-10,-40,33,1,normal,000706050c030201
-10,-40,34,1,normal,000706050c030201
-10,-40,35,1,normal,000706050c030201
-10,-40,36,1,normal,000706050c030201
-10,-40,37,1,normal,000706050c030201
-10,-40,38,1,normal,000706050c030201
-10,-40,39,1,normal,000706050c030201
-10,-40,40,1,normal,000706050c030201
-10,-40,41,1,normal,000706050c030201
-10,-40,42,1,normal,000706050c030201
-10,-40,43,1,normal,000706050c030201
-10,-40,44,1,normal,000706050c030201
-10,-40,45,1,normal,000706050c030201
-10,-40,46,1,normal,000706050c030201
-10,-40,47,1,normal,000706050c030201
-10,-40,48,1,normal,000706050c030201
-10,-40,49,1,normal,000706050c030201
-10,-40,50,1,normal,000706050c030201
-10,-40,51,1,normal,000706050c030201
-10,-40,52,1,normal,000706050c030201
-10,-40,53,1,normal,000706050c030201
-10,-40,54,1,normal,000706050c030201
-10,-40,55,1,normal,000706050c030201
-10,-40,56,1,normal,000706050c030201
-10,-40,57,1,normal,000706050c030201
-10,-40,58,1,normal,000706050c030201
-10,-40,59,1,normal,000706050c030201
-10,-40,60,1,normal,000706050c030201
-10,-40,61,1,normal,000706050c030201
-10,-40,62,1,normal,000706050c030201
-10,-40,63,1,normal,000706050c030201
-10,-40,64,1,normal,000706050c030201
-10,-40,65,1,normal,000706050c030201
-10,-40,66,1,normal,000706050c030201
-10,-40,67,1,normal,000706050c030201
-10,-40,68,1,normal,000706050c030201
-10,-40,69,1,normal,000706050c030201
-10,-40,70,1,normal,000706050c030201
-10,-40,71,1,normal,000706050c030201
-10,-40,72,1,normal,000706050c030201
-10,-40,73,1,normal,000706050c030201
-10,-40,74,1,normal,000706050c030201
-10,-40,75,1,normal,000706050c030201
-10,-40,76,1,normal,000706050c030201
-10,-40,77,1,normal,000706050c030201
-10,-40,78,1,normal,000706050c030201
-10,-40,79,1,normal,000706050c030201
-10,-40,80,1,normal,000706050c030201
-10,-40,81,1,normal,000706050c030201
-10,-40,82,1,normal,000706050c030201
-10,-40,83,1,normal,000706050c030201
-10,-40,84,1,normal,000706050c030201
-10,-40,85,1,normal,000706050c030201
-10,-40,86,1,normal,000706050c030201
-10,-40,87,1,normal,000706050c030201
-10,-40,88,1,normal,000706050c030201
-10,-40,89,1,normal,000706050c030201
-10,-40,90,1,normal,000706050c030201
-10,-40,91,1,normal,000706050c030201
-10,-40,92,1,normal,000706050c030201
-10,-40,93,1,normal,000706050c030201
-10,-40,94,1,normal,000706050c030201
-10,-40,95,1,normal,000706050c030201
-10,-40,96,1,normal,000706050c030201
-10,-40,97,1,normal,000706050c030201
-10,-40,98,1,normal,000706050c030201
-10,-40,99,1,normal,000706050c030201
-10,-40,100,1,normal,000706050c030201
-10,-40,101,1,normal,000706050c030201
-10,-40,102,1,normal,000706050c030201
-10,-40,103,1,normal,000706050c030201
-10,-40,104,1,normal,000706050c030201
-10,-40,105,1,normal,000706050c030201
-10,-40,106,1,normal,000706050c030201
-10,-40,107,1,normal,000706050c030201
-10,-40,108,1,normal,000706050c030201
-10,-40,109,1,normal,000706050c030201
-10,-40,110,1,normal,000706050c030201
-10,-40,111,1,normal,000706050c030201
-10,-40,112,1,normal,000706050c030201
-10,-40,113,1,normal,000706050c030201
-10,-40,114,1,normal,000706050c030201
-10,-40,115,1,normal,000706050c030201
-10,-40,116,1,normal,000706050c030201
-10,-40,117,1,normal,000706050c030201
-10,-40,118,1,normal,000706050c030201
-10,-40,119,1,normal,000706050c030201
-10,-40,120,1,normal,000706050c030201
-10,-40,121,1,normal,000706050c030201
-10,-40,122,1,normal,000706050c030201
-10,-40,123,1,normal,000706050c030201
-10,-40,124,1,normal,000706050c030201
-10,-40,125,1,normal,000706050c030201
-10,-40,126,1,normal,000706050c030201
-10,-40,127,1,normal,000706050c030201
-10,-40,128,1,normal,000706050c030201
-10,-40,129,1,normal,000706050c030201
-10,-40,130,1,normal,000706050c030201
-10,-40,131,1,normal,000706050c030201
-10,-40,132,1,normal,000706050c030201
-10,-40,133,1,normal,000706050c030201
-10,-40,134,1,normal,000706050c030201
-10,-40,135,1,normal,000706050c030201
-10,-40,136,1,normal,000706050c030201
-10,-40,137,1,normal,000706050c030201
-10,-40,138,1,normal,000706050c030201
-10,-40,139,1,normal,000706050c030201
-10,-40,140,1,normal,000706050c030201
-10,-40,141,1,normal,000706050c030201
-10,-40,142,1,normal,000706050c030201
-10,-40,143,1,normal,000706050c030201
-10,-40,144,1,normal,000706050c030201
-10,-40,145,1,normal,000706050c030201
-10,-40,146,1,normal,000706050c030201
-10,-40,147,1,normal,000706050c030201
-10,-40,148,1,normal,000706050c030201
-10,-40,149,1,normal,000706050c030201
-10,-40,150,1,normal,000706050c030201
-10,-40,151,1,normal,000706050c030201
-10,-40,152,1,normal,000706050c030201
-10,-40,153,1,normal,000706050c030201
-10,-40,154,1,normal,000706050c030201
-10,-40,155,1,normal,000706050c030201
-10,-40,156,1,normal,000706050c030201
-10,-40,157,1,normal,000706050c030201
-10,-40,158,1,normal,000706050c030201
-10,-40,159,1,normal,000706050c030201
-10,-35,0,1,normal,000706050c030201
-10,-35,1,1,normal,000706050c030201
-10,-35,2,1,normal,000706050c030201
-10,-35,3,1,normal,000706050c030201
-10,-35,4,1,normal,000706050c030201
-10,-35,5,1,normal,000706050c030201
-10,-35,6,1,normal,000706050c030201
-10,-35,7,1,normal,000706050c030201
-10,-35,8,1,normal,000706050c030201
-10,-35,9,1,normal,000706050c030201
-10,-35,10,1,normal,000706050c030201
-10,-35,11,1,normal,000706050c030201
-10,-35,12,1,normal,000706050c030201
-10,-35,13,1,normal,000706050c030201
-10,-35,14,1,normal,000706050c030201
-10,-35,15,1,normal,000706050c030201
-10,-35,16,1,normal,000706050c030201
-10,-35,17,1,normal,000706050c030201
-10,-35,18,1,normal,000706050c030201
-10,-35,19,1,normal,000706050c030201
-10,-35,20,1,normal,000706050c030201
-10,-35,21,1,normal,000706050c030201
-10,-35,22,1,normal,000706050c030201
-10,-35,23,1,normal,000706050c030201
-10,-35,24,1,normal,000706050c030201
-10,-35,25,1,normal,000706050c030201
-10,-35,26,1,normal,000706050c030201
-10,-35,27,1,normal,000706050c030201
-10,-35,28,1,normal,000706050c030201
-10,-35,29,1,normal,000706050c030201
-10,-35,30,1,normal,000706050c030201
-10,-35,31,1,normal,000706050c030201
-10,-35,32,1,normal,000706050c030201
-10,-35,33,1,normal,000706050c030201
-10,-35,34,1,normal,000706050c030201
-10,-35,35,1,normal,000706050c030201
-10,-35,36,1,normal,000706050c030201
-10,-35,37,1,normal,000706050c030201
-10,-35,38,1,normal,000706050c030201
-10,-35,39,1,normal,000706050c030201
-10,-35,40,1,normal,000706050c030201
-10,-35,41,1,normal,000706050c030201
-10,-35,42,1,normal,000706050c030201
-10,-35,43,1,normal,000706050c030201
-10,-35,44,1,normal,000706050c030201
-10,-35,45,1,normal,000706050c030201
-10,-35,46,1,normal,000706050c030201
-10,-35,47,1,normal,000706050c030201
-10,-35,48,1,normal,000706050c030201
-10,-35,49,1,normal,000706050c030201
-10,-35,50,1,normal,000706050c030201
-10,-35,51,1,normal,000706050c030201
-10,-35,52,1,normal,000706050c030201
-10,-35,53,1,normal,000706050c030201
-10,-35,54,1,normal,000706050c030201
-10,-35,55,1,normal,000706050c030201
-10,-35,56,1,normal,000706050c030201
-10,-35,57,1,normal,000706050c030201
-10,-35,58,1,normal,000706050c030201
-10,-35,59,1,normal,000706050c030201
-10,-35,60,1,normal,000706050c030201
-10,-35,61,1,normal,000706050c030201
-10,-35,62,1,normal,000706050c030201
-10,-35,63,1,normal,000706050c030201
-10,-35,64,1,normal,000706050c030201
-10,-35,65,1,normal,000706050c030201
-10,-35,66,1,normal,000706050c030201
-10,-35,67,1,normal,000706050c030201
-10,-35,68,1,normal,000706050c030201
-10,-35,69,1,normal,000706050c030201
-10,-35,70,1,normal,000706050c030201
-10,-35,71,1,normal,000706050c030201
-10,-35,72,1,normal,000706050c030201
-10,-35,73,1,normal,000706050c030201
-10,-35,74,1,normal,000706050c030201
-10,-35,75,1,normal,000706050c030201
-10,-35,76,1,normal,000706050c030201
-10,-35,77,1,normal,000706050c030201
-10,-35,78,1,normal,000706050c030201
-10,-35,79,1,normal,000706050c030201
-10,-35,80,1,normal,000706050c030201
-10,-35,81,1,normal,000706050c030201
-10,-35,82,1,normal,000706050c030201
-10,-35,83,1,normal,000706050c030201
-10,-35,84,1,normal,000706050c030201
-10,-35,85,1,normal,000706050c030201
-10,-35,86,1,normal,000706050c030201
-10,-35,87,1,normal,000706050c030201
-10,-35,88,1,normal,000706050c030201
-10,-35,89,1,normal,000706050c030201
-10,-35,90,1,normal,000706050c030201
-10,-35,91,1,normal,000706050c030201
-10,-35,92,1,normal,000706050c030201
-10,-35,93,1,normal,000706050c030201
-10,-35,94,1,normal,000706050c030201
-10,-35,95,1,normal,000706050c030201
-10,-35,96,1,normal,000706050c030201
-10,-35,97,1,normal,000706050c030201
-10,-35,98,1,normal,000706050c030201
-10,-35,99,1,normal,000706050c030201
-10,-35,100,1,normal,000706050c030201
-10,-35,101,1,normal,000706050c030201
-10,-35,102,1,normal,000706050c030201
-10,-35,103,1,normal,000706050c030201
-10,-35,104,1,normal,000706050c030201
-10,-35,105,1,normal,000706050c030201
-10,-35,106,1,normal,000706050c030201
-10,-35,107,1,normal,000706050c030201
-10,-35,108,1,normal,000706050c030201
-10,-35,109,1,normal,000706050c030201
-10,-35,110,1,normal,000706050c030201
-10,-35,111,1,normal,000706050c030201
-10,-35,112,1,normal,000706050c030201
-10,-35,113,1,normal,000706050c030201
-10,-35,114,1,normal,000706050c030201
-10,-35,115,1,normal,000706050c030201
-10,-35,116,1,normal,000706050c030201
-10,-35,117,1,normal,000706050c030201
-10,-35,118,1,normal,000706050c030201
-10,-35,119,1,normal,000706050c030201
-10,-35,120,1,normal,000706050c030201
-10,-35,121,1,normal,000706050c030201
-10,-35,122,1,normal,000706050c030201
-10,-35,123,1,normal,000706050c030201
-10,-35,124,1,normal,000706050c030201
-10,-35,125,1,normal,000706050c030201
-10,-35,126,1,normal,000706050c030201
-10,-35,127,1,normal,000706050c030201
-10,-35,128,1,normal,000706050c030201
-10,-35,129,1,normal,000706050c030201
-10,-35,130,1,normal,000706050c030201
-10,-35,131,1,normal,000706050c030201
-10,-35,132,1,normal,000706050c030201
-10,-35,133,1,normal,000706050c030201
-10,-35,134,1,normal,000706050c030201
-10,-35,135,1,normal,000706050c030201
-10,-35,136,1,normal,000706050c030201
-10,-35,137,1,normal,000706050c030201
-10,-35,138,1,normal,000706050c030201
-10,-35,139,1,normal,000706050c030201
-10,-35,140,1,normal,000706050c030201
-10,-35,141,1,normal,000706050c030201
-10,-35,142,1,normal,000706050c030201
-10,-35,143,1,normal,000706050c030201
-10,-35,144,1,normal,000706050c030201
-10,-35,145,1,normal,000706050c030201
-10,-35,146,1,normal,000706050c030201
-10,-35,147,1,normal,000706050c030201
-10,-35,148,1,normal,000706050c030201
-10,-35,149,1,normal,000706050c030201
-10,-35,150,1,normal,000706050c030201
-10,-35,151,1,normal,000706050c030201
-10,-35,152,1,normal,000706050c030201
-10,-35,153,1,normal,000706050c030201
-10,-35,154,1,normal,000706050c030201
-10,-35,155,1,normal,000706050c030201
-10,-35,156,1,normal,000706050c030201
-10,-35,157,1,normal,000706050c030201
-10,-35,158,1,normal,000706050c030201
-10,-35,159,1,normal,000706050c030201
-10,-30,0,1,normal,000706050c030201
-10,-30,1,1,normal,000706050c030201
-10,-30,2,1,normal,000706050c030201
-10,-30,3,1,normal,000706050c030201
-10,-30,4,1,normal,000706050c030201
-10,-30,5,1,normal,000706050c030201
-10,-30,6,1,normal,000706050c030201
-10,-30,7,1,normal,000706050c030201
-10,-30,8,1,normal,000706050c030201
-10,-30,9,1,normal,000706050c030201
-10,-30,10,1,normal,000706050c030201
-10,-30,11,1,normal,000706050c030201
-10,-30,12,1,normal,000706050c030201
-10,-30,13,1,normal,000706050c030201
-10,-30,14,1,normal,000706050c030201
-10,-30,15,1,normal,000706050c030201
-10,-30,16,1,normal,000706050c030201
-10,-30,17,1,normal,000706050c030201
-10,-30,18,1,normal,000706050c030201
-10,-30,19,1,normal,000706050c030201
-10,-30,20,1,normal,000706050c030201
-10,-30,21,1,normal,000706050c030201
-10,-30,22,1,normal,000706050c030201
-10,-30,23,1,normal,000706050c030201
-10,-30,24,1,normal,000706050c030201
-10,-30,25,1,normal,000706050c030201
-10,-30,26,1,normal,000706050c030201
-10,-30,27,1,normal,000706050c030201
-10,-30,28,1,normal,000706050c030201
-10,-30,29,1,normal,000706050c030201
-10,-30,30,1,normal,000706050c030201
-10,-30,31,1,normal,000706050c030201
-10,-30,32,1,normal,000706050c030201
-10,-30,33,1,normal,000706050c030201
-10,-30,34,1,normal,000706050c030201
-10,-30,35,1,normal,000706050c030201
-10,-30,36,1,normal,000706050c030201
-10,-30,37,1,normal,000706050c030201
-10,-30,38,1,normal,000706050c030201
-10,-30,39,1,normal,000706050c030201
-10,-30,40,1,normal,000706050c030201
-10,-30,41,1,normal,000706050c030201
-10,-30,42,1,normal,000706050c030201
-10,-30,43,1,normal,000706050c030201
-10,-30,44,1,normal,000706050c030201
-10,-30,45,1,normal,000706050c030201
-10,-30,46,1,normal,000706050c030201
-10,-30,47,1,normal,000706050c030201
-10,-30,48,1,normal,000706050c030201
-10,-30,49,1,normal,000706050c030201
-10,-30,50,1,normal,000706050c030201
-10,-30,51,1,normal,000706050c030201
-10,-30,52,1,normal,000706050c030201
-10,-30,53,1,normal,000706050c030201
-10,-30,54,1,normal,000706050c030201
-10,-30,55,1,normal,000706050c030201
-10,-30,56,1,normal,000706050c030201
-10,-30,57,1,normal,000706050c030201
-10,-30,58,1,normal,000706050c030201
-10,-30,59,1,normal,000706050c030201
-10,-30,60,1,normal,000706050c030201
-10,-30,61,1,normal,000706050c030201
-10,-30,62,1,normal,000706050c030201
-10,-30,63,1,normal,000706050c030201
-10,-30,64,1,normal,000706050c030201
-10,-30,65,1,normal,000706050c030201
-10,-30,66,1,normal,000706050c030201
-10,-30,67,1,normal,000706050c030201
-10,-30,68,1,normal,000706050c030201
-10,-30,69,1,normal,000706050c030201
-10,-30,70,1,normal,000706050c030201
-10,-30,71,1,normal,000706050c030201
-10,-30,72,1,normal,000706050c030201
-10,-30,73,1,normal,000706050c030201
-10,-30,74,1,normal,000706050c030201
-10,-30,75,1,normal,000706050c030201
-10,-30,76,1,normal,000706050c030201
-10,-30,77,1,normal,000706050c030201
-10,-30,78,1,normal,000706050c030201
-10,-30,79,1,normal,000706050c030201
-10,-30,80,1,normal,000706050c030201
-10,-30,81,1,normal,000706050c030201
-10,-30,82,1,normal,000706050c030201
-10,-30,83,1,normal,000706050c030201
-10,-30,84,1,normal,000706050c030201
-10,-30,85,1,normal,000706050c030201
-10,-30,86,1,normal,000706050c030201
-10,-30,87,1,normal,000706050c030201
-10,-30,88,1,normal,000706050c030201
-10,-30,89,1,normal,000706050c030201
-10,-30,90,1,normal,000706050c030201
-10,-30,91,1,normal,000706050c030201
-10,-30,92,1,normal,000706050c030201
-10,-30,93,1,normal,000706050c030201
-10,-30,94,1,normal,000706050c030201
-10,-30,95,1,normal,000706050c030201
-10,-30,96,1,normal,000706050c030201
-10,-30,97,1,normal,000706050c030201
-10,-30,98,1,normal,000706050c030201
-10,-30,99,1,normal,000706050c030201
-10,-30,100,1,normal,000706050c030201
-10,-30,101,1,normal,000706050c030201
-10,-30,102,1,normal,000706050c030201
-10,-30,103,1,normal,000706050c030201
-10,-30,104,1,normal,000706050c030201
-10,-30,105,1,normal,000706050c030201
-10,-30,106,1,normal,000706050c030201
-10,-30,107,1,normal,000706050c030201
-10,-30,108,1,normal,000706050c030201
-10,-30,109,1,normal,000706050c030201
-10,-30,110,1,normal,000706050c030201
-10,-30,111,1,normal,000706050c030201
-10,-30,112,1,normal,000706050c030201
-10,-30,113,1,normal,000706050c030201
-10,-30,114,1,normal,000706050c030201
-10,-30,115,1,normal,000706050c030201
-10,-30,116,1,normal,000706050c030201
-10,-30,117,1,normal,000706050c030201
-10,-30,118,1,normal,000706050c030201
-10,-30,119,1,normal,000706050c030201
-10,-30,120,1,normal,000706050c030201
-10,-30,121,1,normal,000706050c030201
-10,-30,122,1,normal,000706050c030201
-10,-30,123,1,normal,000706050c030201
-10,-30,124,1,normal,000706050c030201
-10,-30,125,1,normal,000706050c030201
-10,-30,126,1,normal,000706050c030201
-10,-30,127,1,normal,000706050c030201
-10,-30,128,1,normal,000706050c030201
-10,-30,129,1,normal,000706050c030201
-10,-30,130,1,normal,000706050c030201
-10,-30,131,1,normal,000706050c030201
-10,-30,132,1,normal,000706050c030201
-10,-30,133,1,normal,000706050c030201
-10,-30,134,1,normal,000706050c030201
-10,-30,135,1,normal,000706050c030201
-10,-30,136,1,normal,000706050c030201
-10,-30,137,1,normal,000706050c030201
-10,-30,138,1,normal,000706050c030201
-10,-30,139,1,normal,000706050c030201
-10,-30,140,1,normal,000706050c030201
-10,-30,141,1,normal,000706050c030201
-10,-30,142,1,normal,000706050c030201
-10,-30,143,1,normal,000706050c030201
-10,-30,144,1,normal,000706050c030201
-10,-30,145,1,normal,000706050c030201
-10,-30,146,1,normal,000706050c030201
-10,-30,147,1,normal,000706050c030201
-10,-30,148,1,normal,000706050c030201
-10,-30,149,1,normal,000706050c030201
-10,-30,150,1,normal,000706050c030201
-10,-30,151,1,normal,000706050c030201
-10,-30,152,1,normal,000706050c030201
-10,-30,153,1,normal,000706050c030201
-10,-30,154,1,normal,000706050c030201
-10,-30,155,1,normal,000706050c030201
-10,-30,156,1,normal,000706050c030201
-10,-30,157,1,normal,000706050c030201
-10,-30,158,1,normal,000706050c030201
-10,-30,159,1,normal,000706050c030201
-10,-25,0,1,normal,000706050c030201
-10,-25,1,1,normal,000706050c030201
-10,-25,2,1,normal,000706050c030201
-10,-25,3,1,normal,000706050c030201
-10,-25,4,1,normal,000706050c030201
-10,-25,5,1,normal,000706050c030201
-10,-25,6,1,normal,000706050c030201
-10,-25,7,1,normal,000706050c030201
-10,-25,8,1,normal,000706050c030201
-10,-25,9,1,normal,000706050c030201
-10,-25,10,1,normal,000706050c030201
-10,-25,11,1,normal,000706050c030201
-10,-25,12,1,normal,000706050c030201
-10,-25,13,1,normal,000706050c030201
-10,-25,14,1,normal,000706050c030201
-10,-25,15,1,normal,000706050c030201
-10,-25,16,1,normal,000706050c030201
-10,-25,17,1,normal,000706050c030201
-10,-25,18,1,normal,000706050c030201
-10,-25,19,1,normal,000706050c030201
-10,-25,20,1,normal,000706050c030201
-10,-25,21,1,normal,000706050c030201
-10,-25,22,1,normal,000706050c030201
-10,-25,23,1,normal,000706050c030201
-10,-25,24,1,normal,000706050c030201
-10,-25,25,1,normal,000706050c030201
-10,-25,26,1,normal,000706050c030201
-10,-25,27,1,normal,000706050c030201
-10,-25,28,1,normal,000706050c030201
-10,-25,29,1,normal,000706050c030201
-10,-25,30,1,normal,000706050c030201
-10,-25,31,1,normal,000706050c030201
-10,-25,32,1,normal,000706050c030201
-10,-25,33,1,normal,000706050c030201
-10,-25,34,1,normal,000706050c030201
-10,-25,35,1,normal,000706050c030201
-10,-25,36,1,normal,000706050c030201
-10,-25,37,1,normal,000706050c030201
-10,-25,38,1,normal,000706050c030201
-10,-25,39,1,normal,000706050c030201
-10,-25,40,1,normal,000706050c030201
-10,-25,41,1,normal,000706050c030201
-10,-25,42,1,normal,000706050c030201
-10,-25,43,1,normal,000706050c030201
-10,-25,44,1,normal,000706050c030201
-10,-25,45,1,normal,000706050c030201
-10,-25,46,1,normal,000706050c030201
-10,-25,47,1,normal,000706050c030201
-10,-25,48,1,normal,000706050c030201
-10,-25,49,1,normal,000706050c030201
-10,-25,50,1,normal,000706050c030201
-10,-25,51,1,normal,000706050c030201
-10,-25,52,1,normal,000706050c030201
-10,-25,53,1,normal,000706050c030201
-10,-25,54,1,normal,000706050c030201
-10,-25,55,1,normal,000706050c030201
-10,-25,56,1,normal,000706050c030201
-10,-25,57,1,normal,000706050c030201
